Party,%_of_votes,Status,Mandates
Party of Regions,30.00,Elected,72
Fatherland,25.55,Elected,62
UDAR,13.97,Elected,34
Communist Party,13.18,Elected,32
Svoboda,10.45,Elected,25
Ukraine - Forward!,1.58,Not elected,0
Our Ukraine,1.11,Not elected,0
Radical Party of Oleh Lyashko,1.08,Not elected,0
Party of Pensioners,0.56,Not elected,0
Socialist Party,0.46,Not elected,0
Party of Greens,0.34,Not elected,0
Green Planet,0.34,Not elected,0
Ruski Bloc,0.31,Not elected,0
Greens,0.25,Not elected,0
Ukraine of the Future,0.19,Not elected,0
Native Fatherland,0.16,Not elected,0
People Labor Union of Ukraine,0.11,Not elected,0
New Politics,0.10,Not elected,0
Hromada,0.09,Not elected,0
UNA,0.08,Not elected,0
Liberal Party,0.08,Not elected,0
UP Sobor,0.00,Registration cancelled,0